Source: Hedge Fund Research Inc. Copyright 2023 HFR Inc. - www.hfr.com

Name,Ticker,Strategy,Substrategy,Region,Currency
HFRX Market Directional Index,HFRXMD,,Composite,Global,USD
Date,Daily ROR,Index Value
05/06/2022,-0.6861%,1298.5
05/05/2022,-0.8854%,1307.46
05/04/2022,0.4213%,1319.15
05/03/2022,-0.2914%,1313.61
05/02/2022,0.0263%,1317.45
04/29/2022,-0.5003%,1317.1
04/28/2022,0.3589%,1323.73
04/27/2022,-0.0972%,1318.99
04/26/2022,-0.4915%,1320.27
04/25/2022,-0.6046%,1326.8
04/22/2022,-0.8342%,1334.87
04/21/2022,-0.5165%,1346.09
04/20/2022,0.0981%,1353.08
04/19/2022,-0.5721%,1351.76
04/14/2022,-0.0273%,1359.53
04/13/2022,0.7724%,1359.91
04/12/2022,-0.1781%,1349.48
04/11/2022,-0.6232%,1351.89
04/08/2022,-0.3875%,1360.37
04/07/2022,0.0064%,1365.66
04/06/2022,-0.5393%,1365.57
04/05/2022,-0.4667%,1372.98
04/04/2022,0.4323%,1379.41
04/01/2022,0.3131%,1373.48
03/31/2022,-0.1663%,1369.19
03/30/2022,-0.1183%,1371.47
03/29/2022,1.144%,1373.09
03/28/2022,0.354%,1357.56
03/25/2022,0.1565%,1352.77
03/24/2022,0.3761%,1350.66
03/23/2022,-0.2919%,1345.6
03/22/2022,0.4296%,1349.54
03/21/2022,0.4441%,1343.77
03/18/2022,0.5802%,1337.83
03/17/2022,0.4336%,1330.11
03/16/2022,1.0645%,1324.37
03/15/2022,0.3246%,1310.42
03/14/2022,-0.7916%,1306.18
03/11/2022,-0.4127%,1316.6
03/10/2022,-0.11%,1322.05
03/09/2022,1.0555%,1323.51
03/08/2022,-0.5418%,1309.69
03/07/2022,-1.1508%,1316.82
03/04/2022,-1.0876%,1332.15
03/03/2022,-0.3775%,1346.8
03/02/2022,-0.2945%,1351.9
03/01/2022,-0.7706%,1355.89
02/28/2022,-0.7097%,1366.42
02/25/2022,1.4269%,1376.19
02/24/2022,-1.1761%,1356.83
02/23/2022,-0.647%,1372.98
02/22/2022,-0.6105%,1381.92
02/21/2022,-0.0093%,1390.41
02/18/2022,-0.3394%,1390.53
02/17/2022,-0.5896%,1395.27
02/16/2022,0.3018%,1403.55
02/15/2022,0.8991%,1399.32
02/14/2022,-0.8485%,1386.85
02/11/2022,-0.7554%,1398.72
02/10/2022,-0.6885%,1409.37
02/09/2022,0.7286%,1419.14
02/08/2022,0.2075%,1408.87
02/07/2022,0.0275%,1405.96
02/04/2022,-0.1553%,1405.57
02/03/2022,-0.8452%,1407.76
02/02/2022,0.3452%,1419.76
02/01/2022,0.4077%,1414.87
01/31/2022,0.9493%,1409.13
01/28/2022,0.6331%,1395.88
01/27/2022,-0.2685%,1387.1
01/26/2022,0.127%,1390.83
01/25/2022,-0.3801%,1389.07
01/24/2022,-0.6716%,1394.37
01/21/2022,-0.6109%,1403.79
01/20/2022,-0.3506%,1412.42
01/19/2022,0.0804%,1417.39
01/18/2022,-0.9774%,1416.25
01/17/2022,-0.0185%,1430.23
01/14/2022,-0.4428%,1430.5
01/13/2022,-0.4445%,1436.86
01/12/2022,0.3245%,1443.28
01/11/2022,0.3782%,1438.61
01/10/2022,-0.1899%,1433.19
01/07/2022,-0.2546%,1435.91
01/06/2022,-0.2876%,1439.58
01/05/2022,-1.0776%,1443.73
01/04/2022,-0.0873%,1459.46
01/03/2022,-0.0656%,1460.73
12/31/2021,-0.0269%,1461.69
12/30/2021,-0.0022%,1462.09
12/29/2021,0.4121%,1462.12
12/28/2021,-0.0464%,1456.12
12/27/2021,0.3233%,1456.79
12/24/2021,0.1079%,1452.1
12/23/2021,0.0811%,1450.53
12/22/2021,0.4157%,1449.36
12/21/2021,0.7989%,1443.36
12/20/2021,-0.5949%,1431.92
12/17/2021,-0.199%,1440.49
12/16/2021,-0.1604%,1443.36
12/15/2021,0.3163%,1445.68
12/14/2021,-0.4817%,1441.12
12/13/2021,-0.2797%,1448.1
12/10/2021,0.1321%,1452.16
12/09/2021,-0.0449%,1450.24
12/08/2021,0.195%,1450.89
12/07/2021,1.1015%,1448.07
12/06/2021,-0.0412%,1432.29
12/03/2021,-0.427%,1432.88
12/02/2021,0.2022%,1439.03
12/01/2021,-0.1916%,1436.12
11/30/2021,-0.5034%,1438.88
11/29/2021,0.1364%,1446.16
11/26/2021,-0.8456%,1444.19
11/25/2021,-0.0048%,1456.51
11/24/2021,0.2601%,1456.57
11/23/2021,-0.2173%,1452.8
11/22/2021,-0.6675%,1455.96
11/19/2021,-0.1486%,1465.74
11/18/2021,-0.0115%,1467.93
11/17/2021,-0.2021%,1468.1
11/16/2021,-0.091%,1471.07
11/15/2021,-0.1411%,1472.41
11/12/2021,0.3624%,1474.49
11/11/2021,-0.0215%,1469.16
11/10/2021,-0.596%,1469.48
11/09/2021,0.0898%,1478.29
11/08/2021,0.2024%,1476.96
11/05/2021,0.1078%,1473.98
11/04/2021,0.3031%,1472.39
11/03/2021,0.1951%,1467.94
11/02/2021,0.2276%,1465.09
11/01/2021,-0.0897%,1461.76
10/29/2021,-0.0112%,1463.07
10/28/2021,0.2945%,1463.24
10/27/2021,0.1285%,1458.94
10/26/2021,0.0972%,1457.07
10/25/2021,0.0738%,1455.65
10/22/2021,-0.0499%,1454.58
10/21/2021,-0.0557%,1455.31
10/20/2021,0.1798%,1456.12
10/19/2021,0.1951%,1453.5
10/18/2021,0.1199%,1450.67
10/15/2021,0.2376%,1448.94
10/14/2021,0.5375%,1445.5
10/13/2021,0.3303%,1437.77
10/12/2021,0.3374%,1433.04
10/11/2021,-0.2551%,1428.22
10/08/2021,-0.0715%,1431.88
10/07/2021,0.4075%,1432.9
10/06/2021,-0.0018%,1427.08
10/05/2021,0.1478%,1427.11
10/04/2021,-0.293%,1425
10/01/2021,0.1636%,1429.19
09/30/2021,0.0425%,1426.86
09/29/2021,-0.1061%,1426.25
09/28/2021,-1.0552%,1427.77
09/27/2021,-0.3366%,1442.99
09/24/2021,-0.3433%,1447.87
09/23/2021,0.2626%,1452.85
09/22/2021,0.4892%,1449.05
09/21/2021,0.1589%,1441.99
09/20/2021,-0.9102%,1439.71
09/17/2021,-0.2388%,1452.93
09/16/2021,0.0805%,1456.41
09/15/2021,0.2937%,1455.24
09/14/2021,-0.0902%,1450.98
09/13/2021,0.2%,1452.29
09/10/2021,-0.0854%,1449.39
09/09/2021,0.1203%,1450.63
09/08/2021,-0.1544%,1448.88
09/07/2021,-0.1593%,1451.12
09/06/2021,-0.0018%,1453.44
09/03/2021,0.1306%,1453.47
09/02/2021,0.1894%,1451.57
09/01/2021,0.1494%,1448.83
08/31/2021,0.1974%,1446.66
08/30/2021,0.2375%,1443.81
08/27/2021,0.3152%,1440.39
08/26/2021,-0.1771%,1435.87
08/25/2021,0.3351%,1438.42
08/24/2021,0.408%,1433.61
08/23/2021,0.3796%,1427.79
08/20/2021,0.1571%,1422.39
08/19/2021,-0.1874%,1420.15
08/18/2021,-0.1898%,1422.82
08/17/2021,-0.3593%,1425.53
08/16/2021,0.0399%,1430.67
08/13/2021,0.3478%,1430.1
08/12/2021,0.0635%,1425.14
08/11/2021,0.1661%,1424.23
08/10/2021,-0.0546%,1421.87
08/09/2021,-0.0505%,1422.65
08/06/2021,-0.2021%,1423.37
08/05/2021,0.2455%,1426.25
08/04/2021,-0.0129%,1422.76
08/03/2021,0.3558%,1422.94
08/02/2021,0.0724%,1417.9
07/30/2021,-0.1334%,1416.87
07/29/2021,0.4928%,1418.76
07/28/2021,0.0958%,1411.81
07/27/2021,-0.2349%,1410.45
07/26/2021,-0.054%,1413.78
07/23/2021,0.2753%,1414.54
07/22/2021,0.394%,1410.66
07/21/2021,0.4417%,1405.12
07/20/2021,0.6785%,1398.94
07/19/2021,-1.0559%,1389.51
07/16/2021,-0.1943%,1404.34
07/15/2021,-0.1876%,1407.08
07/14/2021,-0.1297%,1409.72
07/13/2021,-0.2339%,1411.55
07/12/2021,-0.1423%,1414.86
07/09/2021,0.3927%,1416.88
07/08/2021,-0.3728%,1411.34
07/07/2021,0.4029%,1416.62
07/06/2021,-0.3164%,1410.93
07/05/2021,0.2629%,1415.41
07/02/2021,0.2765%,1411.7
07/01/2021,0.1546%,1407.81
06/30/2021,-0.0906%,1405.64
06/29/2021,0.1213%,1406.91
06/28/2021,0.2701%,1405.21
06/25/2021,0.1277%,1401.42
06/24/2021,0.1964%,1399.63
06/23/2021,0.2087%,1396.89
06/22/2021,0.1566%,1393.98
06/21/2021,0.2317%,1391.8
06/18/2021,-0.1661%,1388.59
06/17/2021,0.1158%,1390.89
06/16/2021,-0.2075%,1389.29
06/15/2021,-0.289%,1392.18
06/14/2021,0.0567%,1396.21
06/11/2021,0.2317%,1395.42
06/10/2021,0.332%,1392.19
06/09/2021,0.2788%,1387.59
06/08/2021,-0.1086%,1383.73
06/07/2021,0.0704%,1385.23
06/04/2021,0.4068%,1384.26
06/03/2021,-0.2151%,1378.65
06/02/2021,0.1894%,1381.62
06/01/2021,0.0514%,1379.01
05/31/2021,-0.0063%,1378.3
05/28/2021,0.318%,1378.39
05/27/2021,-0.1104%,1374.02
05/26/2021,0.358%,1375.54
05/25/2021,0.335%,1370.63
05/24/2021,0.0574%,1366.06
05/21/2021,-0.1498%,1365.27
