Source: Hedge Fund Research Inc. Copyright 2023 HFR Inc. - www.hfr.com

Name,Ticker,Strategy,Substrategy,Region,Currency
HFRX ED: Merger Arbitrage Index,HFRXMA,,Merger Arbitrage,Global,USD
Date,Daily ROR,Index Value
12/09/2020,0.0006%,1883.37
12/08/2020,0.1419%,1883.36
12/07/2020,0.1032%,1880.69
12/04/2020,0.3404%,1878.75
12/03/2020,0.1184%,1872.38
12/02/2020,0.0666%,1870.17
12/01/2020,-0.0309%,1868.92
11/30/2020,0.0784%,1869.5
11/27/2020,0.1955%,1868.03
11/26/2020,-0.0044%,1864.39
11/25/2020,0.1005%,1864.47
11/24/2020,0.0526%,1862.6
11/23/2020,0.047%,1861.62
11/20/2020,0.3018%,1860.74
11/19/2020,0.0635%,1855.14
11/18/2020,0.1116%,1853.97
11/17/2020,0.0364%,1851.9
11/16/2020,0.0358%,1851.23
11/13/2020,0.2329%,1850.57
11/12/2020,-0.051%,1846.27
11/11/2020,0.1078%,1847.21
11/10/2020,0.0915%,1845.22
11/09/2020,0.7325%,1843.53
11/06/2020,-0.2097%,1830.12
11/05/2020,0.1199%,1833.97
11/04/2020,0.0588%,1831.77
11/03/2020,0.1682%,1830.7
11/02/2020,0.1321%,1827.62
10/30/2020,0.2947%,1825.21
10/29/2020,-0.0988%,1819.85
10/28/2020,-0.1369%,1821.65
10/27/2020,-0.0115%,1824.14
10/26/2020,-0.12%,1824.35
10/23/2020,0.1059%,1826.55
10/22/2020,0.0876%,1824.61
10/21/2020,0.0047%,1823.02
10/20/2020,-0.0494%,1822.93
10/19/2020,0.0205%,1823.83
10/16/2020,0.0446%,1823.46
10/15/2020,-0.1645%,1822.64
10/14/2020,0.0256%,1825.65
10/13/2020,-0.1486%,1825.18
10/12/2020,0.1467%,1827.9
10/09/2020,-0.0243%,1825.22
10/08/2020,0.079%,1825.66
