Source: Hedge Fund Research Inc. Copyright 2023 HFR Inc. - www.hfr.com

Name,Ticker,Strategy,Substrategy,Region,Currency
HFRX EH: Equity Market Neutral Index,HFRXEMN,,Equity Market Neutral,Global,USD
Date,Daily ROR,Index Value
09/17/2021,-0.0384%,927.29
09/16/2021,-0.1487%,927.64
09/15/2021,0.1706%,929.03
09/14/2021,-0.0441%,927.44
09/13/2021,0.1205%,927.85
09/10/2021,0.0372%,926.74
09/09/2021,-0.0254%,926.39
09/08/2021,-0.1364%,926.63
09/07/2021,-0.019%,927.89
09/06/2021,-0.0495%,928.07
09/03/2021,0.1009%,928.53
09/02/2021,-0.0055%,927.59
09/01/2021,-0.0567%,927.64
08/31/2021,0.0638%,928.17
08/30/2021,-0.1376%,927.58
08/27/2021,-0.0089%,928.86
08/26/2021,-0.0004%,928.94
08/25/2021,-0.0519%,928.94
08/24/2021,-0.0591%,929.43
08/23/2021,-0.0245%,929.98
08/20/2021,-0.017%,930.2
08/19/2021,-0.2375%,930.36
08/18/2021,0.1309%,932.58
08/17/2021,-0.1262%,931.36
08/16/2021,0.0195%,932.53
08/13/2021,-0.0213%,932.35
08/12/2021,-0.0002%,932.55
08/11/2021,0.021%,932.55
08/10/2021,0.0472%,932.36
08/09/2021,-0.0195%,931.92
08/06/2021,0.0125%,932.1
08/05/2021,0.047%,931.98
08/04/2021,0.0888%,931.54
08/03/2021,0.154%,930.72
08/02/2021,-0.2065%,929.29
07/30/2021,-0.2628%,931.21
07/29/2021,0.1334%,933.66
07/28/2021,-0.1105%,932.42
07/27/2021,0.0118%,933.45
07/26/2021,0.1436%,933.34
07/23/2021,-0.0098%,932
07/22/2021,-0.1429%,932.09
07/21/2021,0.1717%,933.43
07/20/2021,0.0568%,931.83
07/19/2021,-0.309%,931.3
07/16/2021,-0.1231%,934.18
07/15/2021,-0.2109%,935.34
07/14/2021,-0.138%,937.31
07/13/2021,-0.017%,938.61
07/12/2021,-0.1567%,938.77
07/09/2021,-0.0534%,940.24
07/08/2021,-0.0092%,940.74
07/07/2021,0.019%,940.83
07/06/2021,-0.1269%,940.65
07/05/2021,-0.0601%,941.85
07/02/2021,0.0099%,942.41
07/01/2021,0.2736%,942.32
06/30/2021,-0.083%,939.75
06/29/2021,0.0878%,940.53
06/28/2021,-0.0468%,939.7
06/25/2021,0.1449%,940.14
06/24/2021,-0.0429%,938.78
06/23/2021,0.1514%,939.19
06/22/2021,0.0674%,937.77
06/21/2021,-0.1485%,937.14
06/18/2021,-0.1553%,938.53
06/17/2021,0.0793%,939.99
06/16/2021,-0.2559%,939.24
06/15/2021,0.0385%,941.65
06/14/2021,-0.0397%,941.29
06/11/2021,-0.0614%,941.66
06/10/2021,-0.0018%,942.24
06/09/2021,-0.4215%,942.26
06/08/2021,-0.1669%,946.25
06/07/2021,-0.0695%,947.83
06/04/2021,0.0049%,948.49
06/03/2021,0.0362%,948.44
06/02/2021,-0.0868%,948.1
06/01/2021,0.0846%,948.92
05/31/2021,0.0383%,948.12
05/28/2021,-0.0666%,947.76
05/27/2021,0.2055%,948.39
05/26/2021,-0.0992%,946.45
05/25/2021,-0.1147%,947.39
05/24/2021,0.0589%,948.47
05/21/2021,0.1269%,947.92
05/20/2021,-0.0949%,946.72
05/19/2021,-0.1049%,947.61
05/18/2021,0.0754%,948.61
05/17/2021,-0.1196%,947.9
05/14/2021,-0.0319%,949.03
05/13/2021,0.0195%,949.33
05/12/2021,0.0821%,949.15
05/11/2021,-0.0854%,948.37
05/10/2021,0.0074%,949.18
05/07/2021,0.202%,949.11
05/06/2021,0.168%,947.2
05/05/2021,-0.0859%,945.61
05/04/2021,0.2286%,946.42
05/03/2021,-0.1266%,944.26
04/30/2021,0.1133%,945.46
04/29/2021,0.0653%,944.39
04/28/2021,0.1076%,943.77
04/27/2021,0.0638%,942.76
04/26/2021,0.0879%,942.16
04/23/2021,0.1977%,941.33
04/22/2021,-0.0239%,939.47
04/21/2021,-0.1457%,939.7
04/20/2021,-0.0799%,941.07
04/19/2021,-0.1064%,941.82
04/16/2021,0.1785%,942.82
04/15/2021,0.0134%,941.14
04/14/2021,-0.1671%,941.02
04/13/2021,0.0611%,942.59
04/12/2021,0.0455%,942.02
04/09/2021,-0.072%,941.59
04/08/2021,0.0589%,942.27
04/07/2021,0.1735%,941.71
04/06/2021,-0.0096%,940.08
04/01/2021,-0.003%,940.17
03/31/2021,0.0147%,940.2
03/30/2021,0.1647%,940.06
03/29/2021,0.0069%,938.52
03/26/2021,0.0209%,938.45
03/25/2021,0.1296%,938.26
03/24/2021,0.0033%,937.04
03/23/2021,-0.2138%,937.01
03/22/2021,-0.0331%,939.02
03/19/2021,0.0102%,939.33
03/18/2021,0.37%,939.23
03/17/2021,-0.1397%,935.77
03/16/2021,0.0063%,937.08
03/15/2021,-0.1613%,937.02
03/12/2021,0.1386%,938.53
03/11/2021,0.1566%,937.24
03/10/2021,-0.0783%,935.77
03/09/2021,-0.0438%,936.5
03/08/2021,0.4601%,936.91
03/05/2021,0.2043%,932.62
03/04/2021,0.1219%,930.72
03/03/2021,0.2291%,929.59
03/02/2021,-0.1262%,927.46
03/01/2021,0.0422%,928.64
02/26/2021,0.1158%,928.24
02/25/2021,0.2869%,927.17
02/24/2021,-0.0299%,924.52
02/23/2021,-0.0335%,924.79
02/22/2021,0.1537%,925.1
02/19/2021,0.0558%,923.68
02/18/2021,0.0951%,923.17
02/17/2021,0.077%,922.29
02/16/2021,-0.0045%,921.58
02/15/2021,0.0877%,921.62
02/12/2021,-0.0571%,920.81
02/11/2021,-0.2867%,921.34
02/10/2021,0.158%,923.99
02/09/2021,-0.0143%,922.53
02/08/2021,-0.0049%,922.66
02/05/2021,-0.1777%,922.71
02/04/2021,0.0219%,924.35
02/03/2021,-0.0574%,924.15
02/02/2021,-0.1351%,924.68
02/01/2021,-0.0319%,925.93
01/29/2021,0.28%,926.23
01/28/2021,0.3371%,923.64
01/27/2021,-0.2126%,920.54
01/26/2021,-0.014%,922.5
01/25/2021,-0.1295%,922.63
01/22/2021,0.1202%,923.82
01/21/2021,-0.3553%,922.71
01/20/2021,-0.0435%,926.01
01/19/2021,-0.1352%,926.41
01/18/2021,-0.0382%,927.66
01/15/2021,0.1135%,928.02
01/14/2021,-0.0521%,926.96
01/13/2021,-0.1872%,927.45
01/12/2021,0.3656%,929.19
01/11/2021,0.1155%,925.8
01/08/2021,-0.0994%,924.73
01/07/2021,0.3961%,925.65
01/06/2021,0.1918%,922
01/05/2021,0.2668%,920.24
01/04/2021,0.074%,917.79
12/31/2020,-0.0652%,917.11
12/30/2020,-0.1081%,917.71
12/29/2020,0.0364%,918.7
12/28/2020,-0.0546%,918.37
12/24/2020,0.0589%,918.87
12/23/2020,0.2058%,918.33
12/22/2020,-0.0161%,916.44
12/21/2020,-0.0059%,916.59
12/18/2020,-0.0908%,916.64
12/17/2020,0.1%,917.48
12/16/2020,0.048%,916.56
12/15/2020,0.0857%,916.12
12/14/2020,0.0301%,915.34
12/11/2020,0.0426%,915.06
12/10/2020,-0.0892%,914.67
12/09/2020,-0.1696%,915.49
12/08/2020,0.1154%,917.04
12/07/2020,-0.1773%,915.99
12/04/2020,0.1906%,917.61
12/03/2020,0.0025%,915.87
12/02/2020,-0.0401%,915.84
12/01/2020,0.1847%,916.21
11/30/2020,0.0672%,914.52
11/27/2020,-0.2187%,913.91
11/26/2020,0.0955%,915.91
11/25/2020,0.1088%,915.04
11/24/2020,0.2741%,914.04
11/23/2020,0.2432%,911.54
11/20/2020,-0.1697%,909.33
11/19/2020,0.232%,910.88
11/18/2020,-0.0098%,908.77
11/17/2020,0.4158%,908.86
11/16/2020,0.5815%,905.09
11/13/2020,0.2145%,899.86
11/12/2020,0.0249%,897.94
11/11/2020,-0.4214%,897.71
11/10/2020,1.3946%,901.51
11/09/2020,-0.6703%,889.11
11/06/2020,0.0782%,895.11
11/05/2020,-0.2837%,894.41
11/04/2020,0.0915%,896.96
11/03/2020,0.3926%,896.14
11/02/2020,-0.1445%,892.63
10/30/2020,0.3327%,893.92
10/29/2020,-0.3753%,890.96
10/28/2020,-0.5872%,894.31
10/27/2020,0.3789%,899.6
10/26/2020,-0.09%,896.2
10/23/2020,-0.1045%,897.01
10/22/2020,-0.1899%,897.95
10/21/2020,0.3614%,899.66
10/20/2020,-0.0782%,896.42
10/19/2020,-0.0215%,897.12
10/16/2020,-0.3676%,897.31
10/15/2020,0.2709%,900.62
10/14/2020,0.2144%,898.19
10/13/2020,-0.3582%,896.27
10/12/2020,0.1369%,899.49
10/09/2020,0.0483%,898.26
10/08/2020,0.5798%,897.82
10/07/2020,-0.0349%,892.65
10/06/2020,0.006%,892.96
10/05/2020,0.3243%,892.91
10/02/2020,-0.1924%,890.02
10/01/2020,0.2938%,891.74
09/30/2020,-0.4044%,889.12
09/29/2020,0.6175%,892.73
09/28/2020,-0.2175%,887.26
09/25/2020,-0.0528%,889.19
