Dates,AAPL,MSFT,GOOG,AMZN
2021-05-03,131.381104,248.716629,119.758499,169.324493
2021-05-04,126.732117,244.697418,117.712502,165.593506
2021-05-05,126.979927,243.393906,117.836998,163.526993
2021-05-06,128.605606,246.61319,119.067497,165.318497
2021-05-07,129.290726,249.309143,119.934502,164.580505
2021-05-10,125.95443,244.095032,117.083,159.524506
2021-05-11,125.021072,243.156891,115.438004,161.195496
2021-05-12,121.903244,236.01712,111.954002,157.597
2021-05-13,124.087708,239.996826,113.098503,158.073502
2021-05-14,126.550201,245.052933,115.807999,161.145004
2021-05-17,125.378532,242.11998,116.070503,163.519501
2021-05-18,123.968552,240.046188,115.171501,161.613998
2021-05-19,123.809692,240.640091,115.435501,161.589996
2021-05-20,126.411186,243.96579,117.804497,162.384003
2021-05-21,124.544456,242.669159,117.254997,160.154007
2021-05-24,126.202675,248.221954,120.333504,162.249496
2021-05-25,126.004082,249.152359,120.453499,162.952499
2021-05-26,125.95443,248.924713,121.676498,163.257996
2021-05-27,124.395523,246.766953,120.125504,161.505493
2021-05-28,123.730247,247.133163,120.578003,161.153503
2021-06-01,123.40258,244.876419,121.490501,160.932495
2021-06-02,124.177071,244.777466,121.064003,161.699493
2021-06-03,122.667809,243.203659,120.230499,159.350494
2021-06-04,125.001213,248.231842,122.587997,160.311005
2021-06-07,125.011139,251.221039,123.304497,159.900497
2021-06-08,125.845207,249.993698,124.142502,163.205505
2021-06-09,126.23246,251.003311,124.57,164.057495
2021-06-10,125.219658,254.616074,126.080002,167.482498
2021-06-11,126.450905,255.259445,125.696503,167.341507
2021-06-14,129.558807,257.239044,126.351997,169.193497
2021-06-15,128.724747,255.724625,126.032997,169.156494
2021-06-16,129.23114,254.754623,125.696503,170.762497
2021-06-17,130.859558,258.238708,126.371002,174.462006
2021-06-18,129.538971,256.783722,125.567497,174.345001
2021-06-21,131.365952,259.95108,126.455002,172.697998
2021-06-22,133.034088,262.801727,126.999496,175.272003
2021-06-23,132.756088,262.564148,126.461502,175.190994
2021-06-24,132.46814,263.969666,127.281998,172.453995
2021-06-25,132.170227,262.316681,126.995003,170.072998
2021-06-28,133.828445,265.978973,126.819504,172.194504
2021-06-29,135.367508,268.631622,126.018501,172.406998
2021-06-30,135.993073,268.136719,125.316002,172.007996
2021-07-01,136.300873,268.829559,126.3685,171.648499
2021-07-02,138.971878,274.817871,128.718994,175.548996
2021-07-06,141.017349,274.827759,129.770996,183.787003
2021-07-07,143.549347,277.074615,130.077499,184.828995
2021-07-08,142.228729,274.590179,129.177002,186.570496
2021-07-09,144.08551,275.104919,129.574493,185.966995
2021-07-12,143.479843,274.491241,130.563995,185.927505
2021-07-13,144.611801,278.113922,130.994507,183.867996
2021-07-14,148.09697,279.628326,132.082504,184.084
2021-07-15,147.431732,278.163391,131.266495,181.559998
2021-07-16,145.356476,277.88623,131.845505,178.681503
2021-07-19,141.444305,274.184418,129.253998,177.479507
2021-07-20,145.118164,276.470825,131.101501,178.6595
2021-07-21,144.373459,278.529602,132.600494,179.259995
2021-07-22,145.763565,283.221283,133.328506,181.901505
2021-07-23,147.511154,286.715271,137.815994,182.832001
2021-07-26,147.938141,286.101563,139.644501,184.990997
2021-07-27,145.733795,283.617188,136.796494,181.319504
2021-07-28,143.956436,283.300476,136.3815,181.516006
2021-07-29,144.611801,283.577576,136.540497,179.996002
2021-07-30,144.830231,282.003815,135.220993,166.379501
2021-08-02,144.492615,281.914734,135.989502,166.574005
2021-08-03,146.319656,284.191284,136.279999,168.311996
2021-08-04,145.912537,283.587524,136.028503,167.735992
2021-08-05,146.021759,286.566803,136.940002,168.7995
2021-08-06,145.325653,286.507416,137.035995,167.246994
2021-08-09,145.275925,285.388885,138.001999,167.093506
2021-08-10,144.788666,283.518188,138.096497,166.033997
2021-08-11,145.047226,284.02301,137.689499,164.605499
2021-08-12,148.060333,286.853821,138.389496,165.175003
2021-08-13,148.269165,289.862823,138.406006,164.698502
2021-08-16,150.277908,291.595001,138.916,164.949493
2021-08-17,149.353104,290.090424,137.300507,162.098007
2021-08-18,145.544434,288.315369,136.570007,160.061005
2021-08-19,145.882538,294.305145,136.913498,159.387497
2021-08-20,147.364227,301.832123,138.436996,159.997498
2021-08-23,148.875793,302.11972,141.099503,163.293503
2021-08-24,148.786255,300.106598,142.398499,165.289001
2021-08-25,147.533279,299.501678,142.949997,164.959
2021-08-26,146.717865,296.605896,142.123001,165.800003
2021-08-27,147.771957,297.230682,144.550507,167.481506
2021-08-30,152.266739,301.068542,145.469498,171.078506
2021-08-31,150.983948,299.372772,145.462006,173.539505
2021-09-01,151.660172,299.323151,145.841995,173.949997
2021-09-02,152.793808,298.648773,144.218994,173.156006
2021-09-03,153.440186,298.638916,144.774994,173.902496
2021-09-07,155.816879,297.686859,145.518997,175.464493
2021-09-08,154.245682,297.716614,144.883499,176.274994
2021-09-09,153.211472,294.781219,144.913498,174.207993
2021-09-10,148.139893,293.253998,141.921005,173.457504
2021-09-13,148.71666,294.523346,143.464996,172.858505
2021-09-14,147.294617,297.30011,143.406006,172.5
2021-09-15,148.199554,302.28833,145.205994,173.789505
2021-09-16,147.960876,302.685028,144.373505,174.412003
2021-09-17,145.246094,297.379395,141.463501,173.126007
2021-09-20,142.143478,291.855682,139.016998,167.786499
2021-09-21,142.630753,292.351532,139.6465,167.181503
2021-09-22,145.037262,296.100159,140.938507,169.002502
2021-09-23,146.011826,297.072021,141.826508,170.800003
2021-09-24,146.101303,296.863739,142.632996,171.276001
2021-09-27,144.559952,291.726807,141.501007,170.289993
2021-09-28,141.119247,281.165222,136.184006,165.798004
2021-09-29,142.034103,281.641235,134.520996,165.056
2021-09-30,140.711517,279.578522,133.265503,164.251999
2021-10-01,141.855103,286.698914,136.462494,164.162994
2021-10-04,138.36467,280.758606,133.764999,159.488998
2021-10-05,140.323685,286.361725,136.177002,161.050003
2021-10-06,141.20874,290.675537,137.354004,163.100494
2021-10-07,142.491547,292.401154,139.185501,165.121506
2021-10-08,142.103699,292.401154,140.056,164.431
2021-10-11,142.014206,291.786285,138.847504,162.315002
2021-10-12,140.721451,290.44751,136.712997,162.366501
2021-10-13,140.124786,293.848999,137.899994,164.214005
2021-10-14,142.958923,300.235535,141.412003,164.992996
2021-10-15,144.032898,301.68338,141.675003,170.451004
2021-10-18,145.733368,304.737793,142.960495,172.337006
2021-10-19,147.931061,305.669983,143.822006,172.207504
2021-10-20,148.428268,304.856812,142.414993,170.753006
2021-10-21,148.647049,308.178986,142.780502,171.750504
2021-10-22,147.86145,306.592285,138.625,166.777496
2021-10-25,147.811737,305.570831,138.772995,166.018494
2021-10-26,148.487946,307.534332,139.671997,168.803497
2021-10-27,148.020569,320.485901,146.427505,169.624496
2021-10-28,151.719833,321.656097,146.128998,172.328506
2021-10-29,148.965256,328.865723,148.270493,168.621506
2021-11-01,148.129959,326.63443,143.774002,165.905502
2021-11-02,149.184036,330.36319,145.863007,165.637497
2021-11-03,150.645844,331.225952,146.789993,169.199997
2021-11-04,150.11879,333.645721,148.682999,173.850006
2021-11-05,150.65657,333.268829,149.240997,175.949493
2021-11-08,149.820038,334.191132,149.351501,174.449005
2021-11-09,150.188507,333.15979,149.248505,178.811493
2021-11-10,147.310425,328.052521,146.626007,174.102493
2021-11-11,147.26062,329.669006,146.748001,173.625
2021-11-12,149.371887,333.923401,149.645493,176.257507
2021-11-15,149.381836,333.278809,149.388,177.283997
2021-11-16,150.377731,336.690247,149.076004,177.035004
2021-11-17,152.857468,336.918701,149.061996,177.449997
2021-11-18,157.219406,339.054749,150.709,184.802994
2021-11-19,159.888382,340.882782,149.952499,183.828506
2021-11-22,160.35643,337.624084,147.078506,178.628494
2021-11-23,160.744827,335.488068,146.757004,179.001999
2021-11-24,161.272644,335.716583,146.717499,179.020493
2021-11-26,156.163788,327.539978,142.806,175.227997
2021-11-29,159.579651,334.444885,146.113998,178.078506
2021-11-30,164.618805,328.444061,142.451996,175.3535
2021-12-01,164.090988,327.937378,141.617996,172.186005
2021-12-02,163.085144,327.351196,143.776505,171.867996
2021-12-03,161.17305,320.9133,142.520493,169.489502
2021-12-06,164.638733,324.072632,143.796494,171.3685
2021-12-07,170.474548,332.745972,148.036499,176.164505
2021-12-08,174.35849,332.795654,148.720505,176.158005
2021-12-09,173.840637,330.937805,148.106003,174.171005
